Date,Low,Open,Volume,High,Close,Adjusted Close
4-13-81,0.124442004,0.124442004,16060800,0.125,0.124442004,0.097272426
4-14-81,0.124442004,0.124442004,6652800,0.125,0.124442004,0.097272426
4-15-81,0.118303999,0.118862003,34048000,0.118862003,0.118303999,0.092474535
4-16-81,0.111607,0.112164997,23878400,0.112164997,0.111607,0.087239705
4-20-81,0.114955001,0.114955001,35347200,0.115512997,0.114955001,0.089856751
4-21-81,0.122768,0.122768,28537600,0.123326004,0.122768,0.09596394
4-22-81,0.127232,0.127232,18995200,0.127790004,0.127232,0.099453315
4-23-81,0.130579993,0.130579993,58016000,0.131137997,0.130579993,0.102070294
4-24-81,0.129464,0.130579993,35056000,0.130579993,0.129464,0.10119798
4-27-81,0.128347993,0.128905997,38528000,0.128905997,0.128347993,0.100325644
4-28-81,0.126115993,0.126673996,32188800,0.126673996,0.126115993,0.098580979
4-29-81,0.124442004,0.125,13641600,0.125,0.124442004,0.097272426
4-30-81,0.126673996,0.126673996,12611200,0.127790004,0.126673996,0.099017158
5-1-81,0.126673996,0.126673996,16553600,0.127790004,0.126673996,0.099017158
5-4-81,0.126115993,0.126673996,14448000,0.126673996,0.126115993,0.098580979
5-5-81,0.125558004,0.126115993,17539200,0.126115993,0.125558004,0.098144792
5-6-81,0.122210003,0.122768,18950400,0.122768,0.122210003,0.095527731
5-7-81,0.123884,0.123884,9363200,0.124442004,0.123884,0.096836269
5-8-81,0.125,0.125,7907200,0.125558004,0.125,0.097708635
5-11-81,0.122210003,0.122768,11939200,0.122768,0.122210003,0.095527731
5-12-81,0.122210003,0.122210003,4256000,0.123884,0.122210003,0.095527731
5-13-81,0.121652,0.122210003,4905600,0.123326004,0.121652,0.095091619
5-14-81,0.119978003,0.121094003,4928000,0.121094003,0.119978003,0.093783051
5-15-81,0.122768,0.122768,4905600,0.124442004,0.122768,0.09596394
5-18-81,0.125,0.125,4166400,0.126115993,0.125,0.097708635
5-19-81,0.122768,0.123326004,25424000,0.123326004,0.122768,0.09596394
5-20-81,0.126673996,0.126673996,13283200,0.127790004,0.126673996,0.099017158
5-21-81,0.133928999,0.133928999,32211200,0.134487003,0.133928999,0.10468813
5-22-81,0.140066996,0.140066996,31427200,0.141183004,0.140066996,0.109485976
5-26-81,0.139509007,0.140066996,85344000,0.140066996,0.139509007,0.109049857
5-27-81,0.147321001,0.147321001,149497600,0.147879004,0.147321001,0.115156293
5-28-81,0.147321001,0.147321001,73987200,0.147879004,0.147321001,0.115156293
5-29-81,0.147879004,0.147879004,59382400,0.148438007,0.147879004,0.115592398
6-1-81,0.147879004,0.147879004,51251200,0.148438007,0.147879004,0.115592398
6-2-81,0.140625,0.141183004,40432000,0.141183004,0.140625,0.1099222
6-3-81,0.140625,0.140625,39446400,0.141740993,0.140625,0.1099222
